epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,595.67,1.05346,2.40402,1.28582,0.82617,0.51342,0.59167,0.46036,0.89988,1.84724,1.15267,0.00198667,0.000662222,0.00198667,0.000662222,0.00198667,0.000662222,0.00198667,0.000662222
2,1093.8,0.95142,1.54316,1.19939,0.83278,0.68029,0.78803,0.59468,0.88637,1.35323,1.12558,0.00267107,0.000890356,0.00267107,0.000890356,0.00267107,0.000890356,0.00267107,0.000890356
